,index,product_id,scene_id,path,row,sensing_time,cloud_cover,geom
44,13,LT05_L1TP_219077_19950511_20170108_01_T1,LT52190771995131CUB00,219,77,1995-05-11 12:12:32,38.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
45,0,LE07_L1TP_219077_20000414_20170212_01_T1,LE72190772000105COA00,219,77,2000-04-14 12:57:03,23.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
46,1,LT05_L1TP_219076_20001116_20161213_01_T1,LT52190762000321CUB00,219,76,2000-11-16 12:43:22,40.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
47,2,LT05_L1TP_219077_20000524_20161214_01_T1,LT52190772000145CUB00,219,77,2000-05-24 12:40:37,34.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
48,3,LE07_L1TP_219076_20000617_20170211_01_T1,LE72190762000169EDC00,219,76,2000-06-17 12:56:12,1.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
49,4,LT05_L1TP_219076_20000218_20161216_01_T1,LT52190762000049CUB00,219,76,2000-02-18 12:38:07,40.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
50,5,LT05_L1TP_219076_20000625_20161214_01_T1,LT52190762000177CUB00,219,76,2000-06-25 12:40:57,10.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
51,6,LT05_L1TP_219077_20000406_20161214_01_T1,LT52190772000097CUB00,219,77,2000-04-06 12:39:09,18.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
52,7,LT05_L1TP_219077_20000218_20161215_01_T1,LT52190772000049CUB00,219,77,2000-02-18 12:38:31,25.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
53,8,LT05_L1TP_219076_20000812_20161214_01_T1,LT52190762000225CUB00,219,76,2000-08-12 12:41:55,43.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
54,9,LE07_L1TP_219077_20001210_20170208_01_T1,LE72190772000345CUB00,219,77,2000-12-10 12:55:07,48.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
55,10,LE07_L1TP_219076_20000226_20170213_01_T1,LE72190762000057CUB00,219,76,2000-02-26 12:56:59,28.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
56,11,LE07_L1TP_219076_20000414_20170212_01_T1,LE72190762000105COA00,219,76,2000-04-14 12:56:39,8.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
57,12,LE07_L1TP_219076_20000430_20170212_01_T1,LE72190762000121EDC00,219,76,2000-04-30 12:56:39,0.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
58,13,LT05_L1GS_219077_20001116_20161213_01_T2,LT52190772000321CUB00,219,77,2000-11-16 12:43:46,49.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
59,14,LE07_L1TP_219076_20000905_20170210_01_T1,LE72190762000249COA00,219,76,2000-09-05 12:55:07,41.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
60,15,LT05_L1TP_219076_20000524_20161214_01_T1,LT52190762000145CUB00,219,76,2000-05-24 12:40:13,14.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
61,16,LT05_L1TP_219076_20000117_20161216_01_T1,LT52190762000017CUB00,219,76,2000-01-17 12:39:12,26.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
